,res_id,filetype,filesize_mb,event,duration_ms
420,resource_209,,0,looping overhead,0
421,resource_210,,0,resource creation,126
422,resource_210,,0,looping overhead,0
423,resource_211,,0,resource creation,100
424,resource_211,,0,looping overhead,0
425,resource_212,,0,resource creation,102
426,resource_212,,0,looping overhead,0
427,resource_213,,0,resource creation,186
428,resource_213,,0,looping overhead,0
429,resource_214,,0,resource creation,100
430,resource_214,,0,looping overhead,0
431,resource_215,,0,resource creation,138
432,resource_215,,0,looping overhead,0
433,resource_216,,0,resource creation,108
434,resource_216,,0,looping overhead,0
435,resource_217,,0,resource creation,98
436,resource_217,,0,looping overhead,0
437,resource_218,,0,resource creation,123
438,resource_218,,0,looping overhead,0
439,resource_219,,0,resource creation,98
440,resource_219,,0,looping overhead,0
441,resource_220,,0,resource creation,130
442,resource_220,,0,looping overhead,0
443,resource_221,,0,resource creation,102
444,resource_221,,0,looping overhead,0
445,resource_222,,0,resource creation,101
446,resource_222,,0,looping overhead,0
447,resource_223,,0,resource creation,123
448,resource_223,,0,looping overhead,0
449,resource_224,,0,resource creation,110
450,resource_224,,0,looping overhead,0
451,resource_225,,0,resource creation,138
452,resource_225,,0,looping overhead,0
453,resource_226,,0,resource creation,96
454,resource_226,,0,looping overhead,0
455,resource_227,,0,resource creation,104
456,resource_227,,0,looping overhead,0
457,resource_228,,0,resource creation,124
458,resource_228,,0,looping overhead,0
459,resource_229,,0,resource creation,105
460,resource_229,,0,looping overhead,0
461,resource_230,,0,resource creation,133
462,resource_230,,0,looping overhead,0
463,resource_231,,0,resource creation,101
464,resource_231,,0,looping overhead,0
465,resource_232,,0,resource creation,104
466,resource_232,,0,looping overhead,0
467,resource_233,,0,resource creation,125
468,resource_233,,0,looping overhead,0
469,resource_234,,0,resource creation,114
470,resource_234,,0,looping overhead,0
471,resource_235,,0,resource creation,130
472,resource_235,,0,looping overhead,0
473,resource_236,,0,resource creation,98
474,resource_236,,0,looping overhead,0
475,resource_237,,0,resource creation,100
476,resource_237,,0,looping overhead,0
477,resource_238,,0,resource creation,122
478,resource_238,,0,looping overhead,0
479,resource_239,,0,resource creation,101
480,resource_239,,0,looping overhead,0
481,resource_240,,0,resource creation,127
482,resource_240,,0,looping overhead,0
483,resource_241,,0,resource creation,101
484,resource_241,,0,looping overhead,0
485,resource_242,,0,resource creation,106
486,resource_242,,0,looping overhead,0
487,resource_243,,0,resource creation,130
488,resource_243,,0,looping overhead,0
489,resource_244,,0,resource creation,97
490,resource_244,,0,looping overhead,0
491,resource_245,,0,resource creation,128
492,resource_245,,0,looping overhead,0
493,resource_246,,0,resource creation,106
494,resource_246,,0,looping overhead,0
495,resource_247,,0,resource creation,99
496,resource_247,,0,looping overhead,0
497,resource_248,,0,resource creation,163
498,resource_248,,0,looping overhead,0
499,resource_249,,0,resource creation,96
500,resource_249,,0,looping overhead,0
501,resource_250,,0,resource creation,129
502,resource_250,,0,looping overhead,0
503,resource_251,,0,resource creation,105
504,resource_251,,0,looping overhead,0
505,resource_252,,0,resource creation,115
506,resource_252,,0,looping overhead,0
507,resource_253,,0,resource creation,117
508,resource_253,,0,looping overhead,0
509,resource_254,,0,resource creation,98
510,resource_254,,0,looping overhead,0
511,resource_255,,0,resource creation,127
512,resource_255,,0,looping overhead,0
513,resource_256,,0,resource creation,147
514,resource_256,,0,looping overhead,0
515,resource_257,,0,resource creation,110
516,resource_257,,0,looping overhead,0
517,resource_258,,0,resource creation,123
518,resource_258,,0,looping overhead,0
519,resource_259,,0,resource creation,104
520,resource_259,,0,looping overhead,0
521,resource_260,,0,resource creation,133
522,resource_260,,0,looping overhead,0
523,resource_261,,0,resource creation,108
524,resource_261,,0,looping overhead,0
525,resource_262,,0,resource creation,102
526,resource_262,,0,looping overhead,0
527,resource_263,,0,resource creation,132
528,resource_263,,0,looping overhead,0
529,resource_264,,0,resource creation,99
530,resource_264,,0,looping overhead,0
531,resource_265,,0,resource creation,176
532,resource_265,,0,looping overhead,0
533,resource_266,,0,resource creation,112
534,resource_266,,0,looping overhead,0
535,resource_267,,0,resource creation,146
536,resource_267,,0,looping overhead,0
537,resource_268,,0,resource creation,130
538,resource_268,,0,looping overhead,0
539,resource_269,,0,resource creation,118
540,resource_269,,0,looping overhead,0
541,resource_270,,0,resource creation,146
542,resource_270,,0,looping overhead,0
543,resource_271,,0,resource creation,118
544,resource_271,,0,looping overhead,0
545,resource_272,,0,resource creation,106
546,resource_272,,0,looping overhead,0
547,resource_273,,0,resource creation,134
548,resource_273,,0,looping overhead,0
549,resource_274,,0,resource creation,106
