,res_id,filetype,filesize_mb,event,duration_microsec
275,resource_137,,0,resource creation,154209
276,resource_137,,0,looping overhead,103
277,resource_138,,0,resource creation,125351
278,resource_138,,0,looping overhead,153
279,resource_139,,0,resource creation,154242
280,resource_139,,0,looping overhead,104
281,resource_140,,0,resource creation,122040
282,resource_140,,0,looping overhead,107
283,resource_141,,0,resource creation,150553
284,resource_141,,0,looping overhead,105
285,resource_142,,0,resource creation,131401
286,resource_142,,0,looping overhead,109
287,resource_143,,0,resource creation,190125
288,resource_143,,0,looping overhead,102
289,resource_144,,0,resource creation,171884
290,resource_144,,0,looping overhead,106
291,resource_145,,0,resource creation,139616
292,resource_145,,0,looping overhead,141
293,resource_146,,0,resource creation,150047
294,resource_146,,0,looping overhead,114
295,resource_147,,0,resource creation,118306
296,resource_147,,0,looping overhead,129
297,resource_148,,0,resource creation,158423
298,resource_148,,0,looping overhead,114
299,resource_149,,0,resource creation,157921
300,resource_149,,0,looping overhead,138
301,resource_150,,0,resource creation,138313
302,resource_150,,0,looping overhead,108
303,resource_151,,0,resource creation,167292
304,resource_151,,0,looping overhead,113
305,resource_152,,0,resource creation,136035
306,resource_152,,0,looping overhead,106
307,resource_153,,0,resource creation,152633
308,resource_153,,0,looping overhead,107
309,resource_154,,0,resource creation,119504
310,resource_154,,0,looping overhead,110
311,resource_155,,0,resource creation,138130
312,resource_155,,0,looping overhead,106
313,resource_156,,0,resource creation,127296
314,resource_156,,0,looping overhead,109
315,resource_157,,0,resource creation,137916
316,resource_157,,0,looping overhead,131
317,resource_158,,0,resource creation,152010
318,resource_158,,0,looping overhead,109
319,resource_159,,0,resource creation,123081
320,resource_159,,0,looping overhead,122
321,resource_160,,0,resource creation,167831
322,resource_160,,0,looping overhead,108
323,resource_161,,0,resource creation,131687
324,resource_161,,0,looping overhead,164
325,resource_162,,0,resource creation,144110
326,resource_162,,0,looping overhead,109
327,resource_163,,0,resource creation,140193
328,resource_163,,0,looping overhead,115
329,resource_164,,0,resource creation,155093
330,resource_164,,0,looping overhead,142
331,resource_165,,0,resource creation,173107
332,resource_165,,0,looping overhead,160
333,resource_166,,0,resource creation,145996
334,resource_166,,0,looping overhead,109
335,resource_167,,0,resource creation,163845
336,resource_167,,0,looping overhead,111
337,resource_168,,0,resource creation,126110
338,resource_168,,0,looping overhead,110
339,resource_169,,0,resource creation,164151
340,resource_169,,0,looping overhead,107
341,resource_170,,0,resource creation,139534
342,resource_170,,0,looping overhead,138
343,resource_171,,0,resource creation,155669
